Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
661,Fairmont Elementary,K-8,Sanger Unified,487,56.7,70.5,21.1
662,Andrew Carnegie Middle,6-8,San Juan Unified,1059,32.0,70.3,25.2
663,Akers Elementary,K-8,Central Union Elementary,646,40.4,70.3,20.1
664,Newcastle Elementary,K-8,Newcastle Elementary,141,36.9,70.2,14.1
665,Daniel J. Savage Middle,6-8,Sylvan Union Elementary,906,38.6,70.2,22.6
666,Kipp Prize Preparatory Academy,5-8,Alum Rock Union Elementary,206,78.2,70.2,41.2
667,Robert C. Cooley Middle,6-8,Roseville City Elementary,918,30.8,70.2,25.5
668,John Adams Academy,K-12,Loomis Union Elementary,1235,9.1,70.1,22
669,Arden Middle,6-8,San Juan Unified,950,33.1,70.1,25
670,Alta-Dutch Flat Elementary,K-8,Alta-Dutch Flat Union Elementary,92,43.5,70.1,23
671,River Heights Intermediate,7-8,Corona-Norco Unified,1057,45.8,70.1,24.5
672,Orcutt Junior High,7-8,Orcutt Union Elementary,520,31.9,70,22.6
673,Westside Innovative School House Charter Middle,7-8,Los Angeles Unified,105,30.5,70,21
674,BRIDGES Charter,K-8,Ventura County Office Of Education,407,17.4,69.9,23.9
675,Lexington Elementary,K-8,Pomona Unified,632,94.2,69.9,21.7
676,Stonegate Elementary,K-8,Franklin-McKinley Elementary,717,78.2,69.8,24.7
677,Joe Michell,K-8,Livermore Valley Joint Unified,645,30.7,69.8,20.1
678,Shivela Middle,6-8,Murrieta Valley Unified,1423,39.7,69.8,30.9
679,Alvarado Intermediate,7-8,Rowland Unified,795,61.3,69.6,27.4
680,Linscott Charter,K-8,Pajaro Valley Unified,272,39.0,69.6,27.2
681,KIPP Bayview Academy,5-8,San Francisco Unified,288,77.8,69.6,28.8
682,Mossdale Elementary,K-8,Manteca Unified,1004,49.4,69.6,28.6
683,Itliong-Vera Cruz,6-8,New Haven Unified,1409,35.6,69.6,28.1
684,Ripona Elementary,K-8,Ripon Unified,429,54.1,69.6,23.8
685,Suisun Valley Elementary,K-8,Fairfield-Suisun Unified,518,37.3,69.5,28.7
686,Alliance 6-12 College-Ready Academy 21,6-12,Los 6-12 21 Academy,21,Los,Unified,6-12
687,Ybarra Academy for the Arts and Technology,K-8,Rowland Unified,677,48.7,69.5,24.1
688,Sacramento Valley Charter,K-8,Washington Unified,218,16.1,69.4,18.1
689,SLVUSD Charter,K-12,San Lorenzo Valley Unified,297,11.8,69.3,24.7
690,Jackson Street Elementary,4-8,Yreka Union Elementary,519,64.2,69.2,18.5
691,Excelsior Middle,6-8,Byron Union Elementary,573,26.7,69.2,24.9
692,Burnt Ranch Elementary,K-8,Burnt Ranch Elementary,97,62.9,69.1,19.4
693,Alta Loma Middle,6-8,South San Francisco Unified,702,34.2,69,21.9
694,Portola Junior/Senior High,7-12,Plumas Unified,253,47.8,68.9,18
695,William Northrup Elementary,K-8,Alhambra Unified,681,81.4,68.8,24.3
696,Robert A. Millikan Mid School Perf Arts Magnet & Sci Academy Stem,6-8,Los Angeles Unified,2061,36.2,68.7,29.4
697,Ivy Bound Academy Of Math Sci And Technical Charter Mid,5-8,Los Angeles Unified,229,31.9,68.7,22.9
698,Balboa Middle,6-8,Ventura Unified,1158,37.1,68.7,28.9
699,Colony Oak Elementary,K-8,Ripon Unified,449,26.5,68.7,26.4
700,Goleta Valley Junior High,7-8,Santa Barbara Unified,770,41.0,68.6,21.3
701,Johnson Middle,6-8,Westminster,747,81.7,68.5,24
702,Margarita Middle,6-8,Temecula Valley Unified,870,37.4,68.4,24.1
703,California Middle,7-8,Sacramento City Unified,856,59.5,68.3,23.1
704,Ingrid B. Lacy Middle,6-8,Pacifica,558,23.7,68.3,21.4
705,John Burroughs Middle,6-8,Los Angeles Unified,1842,74.7,68.3,28.3
706,CHIME Institute's Schwarzenegger Community,K-8,Los Angeles Unified,743,14.8,68.3,17.6
707,Santa Lucia Middle,6-8,Coast Unified,172,61.1,68.1,17.2
708,Summit Public School K2,7-12,Contra Costa County Office Of Education,224,60.7,68,28
709,Helm Elementary,K-8,Golden Plains Unified,97,92.8,68,16.1
710,Greater San Diego Academy,K-12,Jamul-Dulzura Union Elementary,292,46.9,68,22.4
711,Orangevale Open K-8,K-8,San Juan Unified,679,21.2,68,27.1
712,Durfee Elementary,K-8,El Monte City,1014,82.9,68,22.5
713,Freedom Middle,7-8,Rosedale Union Elementary,650,22.5,67.9,22.4
714,Chet F. Harritt Elementary,K-8,Santee,625,46.7,67.9,27.1
715,Marco Forster Middle,6-8,Capistrano Unified,1378,59.0,67.9,25
716,George A. Buljan Middle,6-8,Roseville City Elementary,1113,32.5,67.8,25.2
717,Magnolia Intermediate,6-8,Pleasant Ridge Union Elementary,416,24.8,67.8,21.8
718,Tom Hawkins Elementary,K-8,Jefferson Elementary,747,24.2,67.8,21.9
719,PRIDE Academy at Prospect Avenue,K-8,Santee,576,59.2,67.8,27.4
720,Pacific Union Elementary,K-8,Pacific Union Elementary,535,51.8,67.7,24.3
721,Edna Brewer Middle,6-8,Oakland Unified,817,62.6,67.6,21.5
722,Clinton William Jefferson,K-8,Compton Unified,951,88.9,67.6,26.4
723,Dean L. Shively,5-8,Valle Lindo Elementary,502,85.1,67.6,23.9
724,Coastal Academy,K-8,Oceanside Unified,1615,19.2,67.5,32.3
725,Achieve Charter School of Paradise Inc.,K-8,Paradise Unified,233,41.6,67.5,25.8
726,Dual Language Academy of the Monterey Peninsula,K-8,Monterey Peninsula Unified,416,67.8,67.5,20.8
727,Journey,K-8,Capistrano Unified,424,13.0,67.5,26.5
728,Monterey Bay Charter,K-8,Monterey County Office Of Education,358,34.6,67.3,25.5
729,Jefferson Elementary,K-8,Compton Unified,768,87.1,67.3,27.4
730,Wasuma Elementary,K-8,Bass Lake Joint Union Elementary,289,48.4,67.3,20.6
731,Franklin Delano Roosevelt Elementary,K-8,Jefferson Elementary,365,56.2,67.3,18.2
732,Alamitos Intermediate,7-8,Garden Grove Unified,806,75.6,67.2,26.8
733,Golden Valley Charter,K-12,Mesa Union Elementary,728,27.1,67.1,28
734,Pleasant Hill Middle,6-8,Mt. Diablo Unified,923,35.8,67,24.2
735,Everest Value,K-8,Los Angeles Unified,206,93.7,66.9,22.8
736,High Technical Middle,6-8,San Diego Unified,312,39.7,66.9,20.8
737,Aptos Junior High,7-8,Pajaro Valley Unified,701,39.7,66.8,21.9
738,Benjamin Franklin Senior High,6-12,Los Angeles Unified,1415,85.7,66.8,26.6
739,Camino Science and Natural Resources Charter,K-8,Camino Union Elementary,96,21.9,66.8,16
740,Moore Middle,6-8,Redlands Unified,1083,54.9,66.7,28.5
741,Ocean Grove Charter,K-12,San Lorenzo Valley Unified,1977,18.0,66.7,24.1
742,Benicia Middle,6-8,Benicia Unified,1187,22.1,66.6,23.7
743,Ruth Musser Middle,5-8,Central Elementary,977,49.9,66.6,25
744,Cubberley K-8,K-8,Long Beach Unified,1036,29.4,66.6,26.5
745,Durham Intermediate,6-8,Durham Unified,258,34.9,66.5,21.5
746,Ida Jew Academies,K-8,Mount Pleasant Elementary,605,73.2,66.5,24.2
747,Bancroft Middle,6-8,Long Beach Unified,965,50.6,66.5,27.5
748,Aromas,K-8,Aromas/San Juan Unified,414,59.7,66.5,21.7
749,Valley View Middle,6-8,Mt. Diablo Unified,877,36.6,66.4,23.7
750,El Sol Santa Ana Science and Arts Academy,K-8,Santa Ana Unified,906,72.0,66.1,23.2
751,Olive Peirce Middle,7-8,Ramona City Unified,822,38.4,66.1,26.5
752,Martin Murphy Middle,6-8,Morgan Hill Unified,463,41.5,66,24.3
753,Heritage Digital Academy Charter Middle,6-8,Escondido Union,300,56.7,66,30
754,Placer County Pathways Charter,K-12,Placer County Office Of Education,250,26.4,66,17.8
755,Boulder Creek Elementary,K-8,Enterprise Elementary,1001,45.8,65.9,24.4
756,Morrill Middle,6-8,Berryessa Union Elementary,721,42.4,65.9,21.2
757,C. E. Utt Middle,6-8,Tustin Unified,949,63.3,65.8,26.3
758,Academies of the Antelope Valley,7-12,Antelope Valley Union High,331,58.0,65.8,16.5
759,Golden Valley River,K-8,San Juan Unified,338,39.9,65.7,28.1
760,Sierra Vista Middle,6-8,Covina-Valley Unified,811,63.4,65.7,21.9
761,Piedmont Middle,6-8,Berryessa Union Elementary,837,44.1,65.6,23.2
762,Hollencrest Middle,6-8,West Covina Unified,778,66.5,65.6,25.9
763,Herbert C. Green Middle,5-8,Mother Lode Union Elementary,462,47.8,65.6,23.1
764,New Heights Charter,K-8,Los Angeles Unified,434,98.6,65.6,22.8
765,La Mesa Junior High,7-8,William S. Hart Union High,1091,41.9,65.5,24.2
766,Community Outreach Academy,K-12,Twin Rivers Unified,1520,79.0,65.5,23.3
767,Willis Jepson Middle,7-8,Vacaville Unified,940,39.3,65.5,22.3
768,Weaverville Elementary,K-8,Trinity Alps Unified,349,67.6,65.4,19.3
769,Trivium Charter,K-12,Blochman Union Elementary,615,34.5,65.4,20.5
770,Buena Vista Middle,6-8,Spreckels Union Elementary,370,11.1,65.3,20.5
771,Hayfork Valley Elementary,K-8,Mountain Valley Unified,182,80.8,65.3,18.2
772,Sinaloa Middle,6-8,Simi Valley Unified,914,32.2,65.2,24
773,Pine Elementary,K-8,Holtville Unified,178,58.4,65.2,19.7
774,G. M. Walters Junior High,7-8,Fremont Unified,729,50.5,65.1,21.4
775,Richfield Elementary,K-8,Richfield Elementary,241,57.3,65.1,21.9
776,Hughes Middle,6-8,Long Beach Unified,1523,59.9,65,29.8
777,Ernest Lawrence Middle,6-8,Los Angeles Unified,1465,59.9,65,27.1
778,Cesar Chavez Academy,K-8,Corona-Norco Unified,957,58.9,65,26.5
779,Paulding Middle,7-8,Lucia Mar Unified,570,39.8,64.9,20.3
780,Solorsano Middle,6-8,Gilroy Unified,814,61.9,64.9,24.6
781,Fred T. Korematsu Middle,7-8,West Contra Costa Unified,589,55.0,64.9,25.6
782,Colfax Elementary,K-8,Colfax Elementary,327,45.9,64.9,19.2
783,Imperial Beach Charter,K-8,South Bay Union,871,62.5,64.9,24.1
784,San Jose Intermediate,6-8,Novato Unified,794,39.3,64.6,24
785,The Language Academy of Sacramento,K-8,Sacramento City Unified,541,76.5,64.6,19.3
786,Martin Luther King Junior Middle,6-8,Oceanside Unified,1483,48.8,64.6,24.3
787,Willow Glen Middle,6-8,San Jose Unified,1265,36.6,64.6,22.1
788,Sonora Elementary,K-8,Sonora Elementary,693,43.3,64.6,23.1
789,Westside Preparatory Charter,7-8,Twin Rivers Unified,348,73.6,64.5,24.8
790,Julian Charter,K-12,Julian Union Elementary,2450,36.2,64.5,20.7
791,Newton Middle,6-8,Hacienda La Puente Unified,586,59.4,64.4,25.4
792,Mupu Elementary,K-8,Mupu Elementary,140,52.1,64.4,20
793,Edison Charter Academy,K-8,San Francisco Unified,693,76.9,64.4,22.3
794,Emery Park Elementary,K-8,Alhambra Unified,469,69.5,64.4,22.3
795,Mendocino K-8,K-8,Mendocino Unified,285,42.1,64.3,15
796,Arlie F. Hutchinson Middle,6-8,Norwalk-La Mirada Unified,606,53.5,64.2,28.8
797,Antioch Charter Academy II,K-8,Antioch Unified,198,34.9,64.2,19.8
798,Encinal Elementary,K-8,Live Oak Unified,112,65.2,64.2,22.4
799,Willow Creek Academy,K-8,Sausalito Marin City,377,45.1,64.1,20.9
800,Nord Country,K-8,Chico Unified,167,50.9,64.1,18.5
801,EJE Middle Academy,6-8,Cajon Valley Union,182,83.0,64.1,18.2
802,Frank M. Wright Middle,6-8,Imperial Unified,964,49.2,64,23.5
803,California Montessori Project - Elk Grove Campus,K-8,Elk Grove Unified,457,19.0,64,21.7
804,Hillview Middle,6-8,Westside Union Elementary,966,37.9,64,25.4
805,Pine Hollow Middle,6-8,Mt. Diablo Unified,615,35.1,64,21.2
806,Chrysalis Charter,K-8,Shasta County Office Of Education,195,52.8,63.9,17.7
807,Voices College-Bound Language Academy,K-8,Franklin-McKinley Elementary,456,68.9,63.8,25.3
808,Valley View Charter Prep,K-12,New Jerusalem Elementary,360,27.2,63.7,27.6
