Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
3347,Pinedale Elementary,K-6,Clovis Unified,515,90.9,36.4,25.7
3348,Howard Pence Elementary,K-6,South Bay Union,701,76.0,36.4,25.9
3349,Capistrano Elementary,K-6,Empire Union Elementary,523,91.4,36.3,24.9
3350,Noble Avenue Elementary,K-5,Los Angeles Unified,891,91.0,36.3,22.8
3351,El Granada Elementary,K-5,Cabrillo Unified,459,53.4,36.3,20.8
3352,Harrison Elementary,K-8,Pomona Unified,378,88.9,36.2,25.2
3353,Westside Elementary,K-6,Twin Rivers Unified,412,73.1,36.2,29.4
3354,Valencia Park Elementary,K-5,San Diego Unified,517,93.8,36.2,23.5
3355,Madison (James) Elementary,K-6,Anaheim Elementary,626,72.5,36.2,27.2
3356,Miwok Valley Language Academy Charter,K-6,Old Adobe Union,387,69.8,36.1,22.7
3357,Manuel A. Salinas Creative Arts Elementary,K-5,San Bernardino City Unified,565,94.5,36.1,26.9
3358,Lincoln Elementary,K-5,Kings Canyon Joint Unified,351,94.6,36.1,27
3359,Central Elementary,K-5,Banning Unified,754,88.1,36.1,25.1
3360,Charles H. Lee Elementary,1-5,Azusa Unified,331,84.0,36.1,23.6
3361,Wright Elementary,K-8,El Monte City,892,91.6,36.1,23.4
3362,Commonwealth Elementary,K-6,Fullerton Elementary,381,81.9,36.1,22.4
3363,Charles Bursch Elementary,K-6,Baldwin Park Unified,552,87.5,36.1,24
3364,Susan B. Anthony Elementary,K-6,Fresno Unified,454,98.0,36.1,21.6
3365,Greenwood Elementary,K-5,Montebello Unified,1007,83.9,36,24.5
3366,Orange Glen Elementary,K-5,Escondido Union,774,73.0,36,23.4
3367,Willow Glen Elementary,K-8,Visalia Unified,605,79.8,36,26.3
3368,Jack Northrop Elementary,K-5,Lancaster Elementary,718,83.7,36,26.5
3369,Della S. Lindley Elementary,K-5,Palm Springs Unified,649,86.4,36,24
3370,Griffin Avenue Elementary,K-5,Los Angeles Unified,510,94.3,35.9,23.1
3371,Soulsbyville Elementary,K-8,Soulsbyville Elementary,501,44.7,35.9,19.2
3372,Mariposa Elementary,K-8,Mariposa County Unified,393,66.7,35.9,20.6
3373,Olive Elementary,K-6,Orange Unified,461,56.6,35.9,32.9
3374,Hannalei Elementary,K-5,Vista Unified,647,79.4,35.9,24.8
3375,Accelerated Achievement Academy,4-12,Ukiah Unified,160,80.0,35.9,22.8
