,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
105,Shandon Joint Unified,61.6,61.6,35.7,52.96666667,40.9,12.06666667
130,Summerville Union High,56.5,68.6,33.8,52.96666667,,52.96666667
264,Lake Tahoe Unified,42.2,66.8,49.2,52.73333333,49.6,3.133333333
158,Fairfield-Suisun Unified,53.14,63.975,40.7,52.605,42.8,9.805
350,Monterey County Office Of Education,31.45,54.05,72.25,52.58333333,49,3.583333333
176,Western Placer Unified,51.35,51.35,54.52222222,52.40740741,55.1,-2.692592593
212,San Lorenzo Unified,47.92,84.95,24.11111111,52.32703704,34.2,18.12703704
207,Apple Valley Unified,48.275,72.45,35.59090909,52.10530303,37.2,14.90530303
120,Newman-Crows Landing Unified,59.6,59.6,36.75,51.98333333,42,9.983333333
126,Fowler Unified,57.2,57.2,41.4,51.93333333,,51.93333333
122,Mountain Valley Unified,59.5,59.5,36.6,51.86666667,,51.86666667
287,Charter Oak Unified,39.8,54.5,60.9,51.73333333,56.3,-4.566666667
123,Chawanakee Unified,59.35,59.35,36.45,51.71666667,49.7,2.016666667
371,Los Angeles County Office Of Education,26.14375,71.825,55.9,51.28958333,32.6,18.68958333
154,Marcum-Illinois Union Elementary,53.5,53.5,46.75,51.25,53.3,-2.05
363,San Diego County Office Of Education,28.14,75.4,49.8,51.11333333,33.1,18.01333333
157,Tracy Joint Unified,53.22,63.75,36.08333333,51.01777778,44.5,6.517777778
221,Harmony Union Elementary,47.3,47.3,58.25,50.95,60.5,-9.55
146,Caruthers Unified,54.7,54.7,43.3,50.9,48.4,2.5
132,Firebaugh-Las Deltas Unified,56.3,56.3,39.9,50.83333333,44.5,6.333333333
334,Duarte Unified,33.73333333,63.6,54.78,50.70444444,42.4,8.304444444
188,Monterey Peninsula Unified,50.28,60.275,41.38461538,50.64653846,44.3,6.346538462
282,Oakdale Joint Unified,40.025,63.65,47.75,50.475,47.4,3.075
168,Palm Springs Unified,52.14,62.55,36.70625,50.46541667,38.9,11.56541667
204,Penn Valley Union Elementary,48.7,48.7,53.75,50.38333333,53.9,-3.516666667
194,Jefferson Elementary,49.9,49.9,51.32666667,50.37555556,69.4,-19.02444444
196,Jefferson Elementary,49.9,49.9,51.32666667,50.37555556,,50.37555556
