,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017)
150,Santa Barbara Unified,54.000000000000014,64.55000000000001,42.56923076923077,53.706410256410265,50.7
244,Atascadero Unified,44.06666666666666,61.15,55.78571428571429,53.667460317460325,56.49999999999999
96,Anderson Valley Unified,63.1,63.1,34.4,53.53333333333333,55.89999999999999
213,Desert Sands Unified,47.91428571428571,60.98,50.99473684210527,53.29634085213032,48.8
219,Bellflower Unified,47.53333333333333,64.75,47.36363636363637,53.215656565656566,50.3
100,Aromas/San Juan Unified,62.0,62.0,35.150000000000006,53.050000000000004,45.8
105,Shandon Joint Unified,61.6,61.6,35.7,52.96666666666667,40.9
130,Summerville Union High,56.5,68.6,33.8,52.96666666666666,
264,Lake Tahoe Unified,42.2,66.8,49.2,52.73333333333333,49.6
158,Fairfield-Suisun Unified,53.14,63.975,40.70000000000001,52.60500000000001,42.8
350,Monterey County Office Of Education,31.45,54.05,72.25,52.583333333333336,49.0
176,Western Placer Unified,51.35000000000001,51.35000000000001,54.522222222222226,52.40740740740741,55.1
212,San Lorenzo Unified,47.92,84.95,24.111111111111114,52.32703703703704,34.2
207,Apple Valley Unified,48.275000000000006,72.45,35.59090909090909,52.10530303030303,37.2
120,Newman-Crows Landing Unified,59.6,59.6,36.75,51.98333333333333,42.0
126,Fowler Unified,57.2,57.2,41.4,51.93333333333334,
122,Mountain Valley Unified,59.5,59.5,36.6,51.86666666666667,
287,Charter Oak Unified,39.800000000000004,54.5,60.9,51.73333333333334,56.3
123,Chawanakee Unified,59.349999999999994,59.349999999999994,36.45,51.71666666666666,49.7
371,Los Angeles County Office Of Education,26.143749999999994,71.825,55.9,51.28958333333333,32.6
154,Marcum-Illinois Union Elementary,53.5,53.5,46.75,51.25,53.29999999999999
363,San Diego County Office Of Education,28.140000000000004,75.4,49.8,51.11333333333334,33.1
157,Tracy Joint Unified,53.220000000000006,63.75,36.08333333333332,51.01777777777777,44.5
221,Harmony Union Elementary,47.3,47.3,58.25,50.949999999999996,60.5
146,Caruthers Unified,54.7,54.7,43.3,50.9,48.4
132,Firebaugh-Las Deltas Unified,56.3,56.3,39.9,50.833333333333336,44.5
334,Duarte Unified,33.733333333333334,63.6,54.779999999999994,50.70444444444445,42.4
188,Monterey Peninsula Unified,50.28000000000001,60.275000000000006,41.38461538461539,50.64653846153846,44.3
282,Oakdale Joint Unified,40.025,63.65,47.75,50.475,47.4
168,Palm Springs Unified,52.14,62.55,36.706250000000004,50.46541666666667,38.9
204,Penn Valley Union Elementary,48.7,48.7,53.75,50.38333333333333,53.900000000000006
194,Jefferson Elementary,49.9,49.9,51.32666666666667,50.37555555555556,69.4
196,Jefferson Elementary,49.9,49.9,51.32666666666667,50.37555555555556,
195,Jefferson Elementary,49.9,49.9,51.32666666666667,50.37555555555556,53.29999999999999
229,Santa Ana Unified,46.27272727272728,77.66,27.18648648648649,50.37307125307126,30.5
145,Hayward Unified,54.77142857142858,67.9,28.426086956521733,50.365838509316774,35.6
269,South San Francisco Unified,41.56666666666666,56.599999999999994,52.68888888888889,50.285185185185185,55.3
292,Bishop Unified,39.35,70.3,40.4,50.01666666666667,41.3
260,Bassett Unified,42.6,66.5,40.8,49.96666666666666,45.0
226,Los Angeles Unified,46.53559322033899,62.7255033557047,40.361351819757374,49.87414946526702,41.9
190,Sacramento City Unified,50.22142857142858,65.02222222222223,33.94561403508772,49.72975494291284,38.8
170,Waterford Unified,52.0,64.0,33.15,49.71666666666667,45.3
297,Newark Unified,38.75,61.7,48.32857142857143,49.59285714285715,50.4
113,Lakeport Unified,60.3,60.3,27.8,49.46666666666667,42.8
245,Lompoc Unified,44.06666666666666,61.35,42.81000000000001,49.40888888888889,44.3
140,Mountain Empire Unified,55.76666666666667,55.76666666666667,36.559999999999995,49.364444444444445,42.4
290,Lincoln Unified,39.6,63.0,45.1888888888889,49.262962962962966,45.4
248,Paradise Unified,43.824999999999996,67.85,36.1,49.258333333333326,43.2
257,Nevada County Office Of Education,42.73333333333333,59.349999999999994,45.325,49.1361111111111,53.79999999999999
173,Redding Elementary,51.7,51.7,43.87499999999999,49.09166666666667,48.4
138,Mammoth Unified,55.9,55.9,35.1,48.96666666666667,49.2
233,San Juan Unified,45.38125,60.35999999999999,40.49148936170213,48.74424645390071,42.4
180,Mariposa County Unified,50.8,50.8,44.475,48.69166666666666,55.00000000000001
279,Oceanside Unified,40.175,64.6,39.666666666666664,48.14722222222222,45.2
339,Beaumont Unified,32.9,58.8,52.44285714285714,48.047619047619044,48.4
124,Lucerne Valley Unified,58.849999999999994,58.849999999999994,25.799999999999997,47.833333333333336,39.0
153,Butte County Office Of Education,53.7,53.7,35.95,47.78333333333334,
169,Ukiah Unified,52.04,62.175,29.033333333333335,47.74944444444444,41.5
220,Princeton Joint Unified,47.3,47.3,48.5,47.699999999999996,52.1
255,Calaveras Unified,42.85,74.3,25.939999999999998,47.696666666666665,32.7
253,Visalia Unified,43.125,59.0,40.53076923076923,47.55192307692308,45.1
289,Pasadena Unified,39.7375,56.14,46.66499999999999,47.51416666666666,44.7
181,Cloverdale Unified,50.8,50.8,40.9,47.5,40.0
274,El Rancho Unified,40.699999999999996,69.3,32.4,47.46666666666667,37.2
223,Oakland Unified,47.0851851851852,64.38235294117648,30.375714285714295,47.281084137358654,34.9
310,Maxwell Unified,37.3,37.3,66.4,47.0,53.2
263,Norwalk-La Mirada Unified,42.25,53.166666666666664,45.55294117647058,46.98986928104574,45.9
322,Windsor Unified,35.2,62.2,43.400000000000006,46.93333333333334,44.2
323,El Dorado County Office Of Education,35.15,56.7,48.8,46.883333333333326,45.9
242,West Contra Costa Unified,44.31666666666667,62.08571428571429,34.22051282051282,46.87429792429793,36.5
298,Acton-Agua Dulce Unified,38.72857142857142,54.675,47.21666666666667,46.87341269841269,38.9
205,Stockton Unified,48.6923076923077,72.14285714285714,19.72553191489363,46.853565583352825,22.3
218,Sierra-Plumas Joint Unified,47.8,47.8,44.9,46.833333333333336,
247,Dixon Unified,43.9,62.4,34.199999999999996,46.833333333333336,43.3
268,Eureka City Schools,41.75,73.1,25.625000000000004,46.824999999999996,29.600000000000005
300,Inglewood Unified,38.64,75.0,26.3375,46.659166666666664,28.199999999999996
246,Hemet Unified,44.0375,62.379999999999995,32.800000000000004,46.405833333333334,36.4
317,Bear Valley Unified,35.75,59.3,43.85,46.300000000000004,42.5
294,Liberty Elementary,39.2,39.2,59.93333333333334,46.111111111111114,42.3
293,Liberty Elementary,39.2,39.2,59.93333333333334,46.111111111111114,50.1
273,Sonoma Valley Unified,40.85,70.2,26.2,45.75,34.9
251,Marysville Joint Unified,43.525,54.73333333333333,38.635714285714286,45.631349206349206,40.8
167,Ferndale Unified,52.2,52.2,32.4,45.6,51.7
314,Turlock Unified,36.4,66.65,33.55555555555556,45.535185185185185,35.6
116,Gustine Unified,60.0,60.0,16.35,45.449999999999996,25.7
128,Hamilton Unified,56.8,56.8,22.3,45.300000000000004,37.2
267,Fresno Unified,41.93125,63.5375,30.321739130434775,45.26349637681159,30.4
147,John Swett Unified,54.2,54.2,27.3,45.23333333333334,39.3
295,Baldwin Park Unified,39.16,62.8,33.72307692307692,45.2276923076923,34.5
351,Selma Unified,31.400000000000002,71.8,32.34285714285714,45.180952380952384,34.1
348,Kerman Unified,31.75,54.4,49.25,45.13333333333333,44.3
276,Valley Center-Pauma Unified,40.35,70.5,24.266666666666666,45.03888888888889,28.000000000000004
280,Morongo Unified,40.166666666666664,55.1,39.68181818181819,44.98282828282828,41.3
278,Porterville Unified,40.2625,63.75,29.709999999999997,44.57416666666666,33.9
139,Kelseyville Unified,55.9,55.9,21.85,44.550000000000004,31.5
225,Jurupa Unified,46.6,55.875,31.075,44.51666666666666,34.6
230,New Jerusalem Elementary,46.166666666666664,61.03333333333334,25.662500000000005,44.2875,35.4
179,Pierce Joint Unified,50.9,50.9,31.0,44.26666666666667,37.8
137,Tulelake Basin Joint Unified,55.9,55.9,20.6,44.13333333333333,40.4
183,Riverdale Joint Unified,50.5,50.5,30.5,43.833333333333336,36.0
258,Alvord Unified,42.725,53.666666666666664,34.68571428571429,43.69246031746032,37.1
346,Linden Unified,31.9,53.3,45.63333333333333,43.61111111111111,43.1
296,Lake Elsinore Unified,38.76,55.666666666666664,36.39333333333334,43.60666666666666,39.2
232,Pajaro Valley Unified,45.416666666666664,57.85,27.094736842105267,43.45380116959064,30.3
286,Val Verde Unified,39.85,49.833333333333336,40.49166666666667,43.39166666666667,39.6
288,Woodland Joint Unified,39.76666666666667,54.900000000000006,35.38181818181818,43.349494949494954,38.1
185,Potter Valley Community Unified,50.4,50.4,29.2,43.333333333333336,28.199999999999996
164,East Side Union High,52.74545454545454,69.63333333333334,7.3,43.22626262626263,50.3
241,Helendale Elementary,44.325,54.800000000000004,30.333333333333332,43.15277777777778,36.9
277,Pomona Unified,40.3,52.4,35.71851851851853,42.80617283950617,37.7
328,Gateway Unified,34.5,57.05,36.78,42.776666666666664,37.6
341,Julian Union Elementary,32.7,52.4,42.53333333333333,42.544444444444444,48.5
299,Ceres Unified,38.72,56.9,31.453333333333333,42.35777777777778,35.1
324,Santa Paula Unified,35.0,60.8,31.266666666666666,42.355555555555554,31.3
259,Siskiyou County Office Of Education,42.7,42.7,41.5,42.300000000000004,
329,Rim Of The World Unified,34.4,58.2,34.0,42.199999999999996,34.9
284,Vallejo City Unified,39.925,62.55,23.868750000000002,42.114583333333336,25.3
306,Azusa Unified,37.8,51.599999999999994,36.31818181818182,41.906060606060606,36.4
305,Yuba City Unified,37.92,49.03333333333333,38.357142857142854,41.77015873015873,40.9
359,Washington Unified,28.840000000000003,58.650000000000006,37.56363636363637,41.68454545454546,26.6
358,Washington Unified,28.840000000000003,58.650000000000006,37.56363636363637,41.68454545454546,42.9
291,Kern County Office Of Education,39.35,68.25,17.375,41.65833333333333,27.200000000000003
319,Del Norte County Unified,35.45,61.2,27.2,41.28333333333334,30.099999999999998
347,Exeter Unified,31.8,49.7,42.35,41.28333333333333,40.0
353,San Leandro Unified,31.15,53.6,39.05,41.266666666666666,36.4
331,Patterson Joint Unified,34.25,57.4,31.979999999999997,41.21,31.7
